HTS Number,Description,Year,Country,January,February,March,April,May,June,July,August,September,October,November,December,Variable
030331,"HALIBUT AND GREENLAND TURBOT (REINHARDTIUS HIPPOGLOSSOIDES, HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS) EXCEPT FILLETS, LIVERS OR ROES, FROZEN",2020,Greenland,0,"3,840",0,0,750,0,243,0,750,0,0,0,"Charges, Insurance, and Freight"
030471,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) FILLETS, FROZEN",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,750,"Charges, Insurance, and Freight"
030483,"FLAT FISH (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE AND CITHARIDAE) FILLETS, FROZEN",2020,Greenland,0,383,0,0,0,0,85,"2,576",0,0,515,0,"Charges, Insurance, and Freight"
030614,"CRABS, INCLUDING IN SHELL, COOKED BY STEAMING OR BY BOILING IN WATER, FROZEN",2020,Greenland,"18,973","23,897","2,230","8,000","12,064","28,646","39,051","20,532","24,064","16,387","14,833","34,963","Charges, Insurance, and Freight"
030616,"COLD-WATER SHRIMPS AND PRAWNS (PANDALUS SPP., CRANGON CRANGON), FROZEN",2020,Greenland,0,0,0,0,"1,500","5,000","2,250","4,779","4,680",0,0,0,"Charges, Insurance, and Freight"
030617,"SHRIMPS AND PRAWNS, FROZEN, OTHER THAN COLD-WATER",2020,Greenland,"3,950",0,0,0,0,0,0,0,0,0,0,0,"Charges, Insurance, and Freight"
030722,"SCALLOPS AND OTHER MOLLUSCS OF THE FAMILY PECTINIDAE, FROZEN",2020,Greenland,0,0,0,0,0,0,0,471,0,0,0,0,"Charges, Insurance, and Freight"
070519,"LETTUCE (LACTUCA SATIVA), EXCEPT HEAD LETTUCE, FRESH OR CHILLED",2020,Greenland,0,0,0,0,0,0,0,0,0,0,"1,200",0,"Charges, Insurance, and Freight"
160521,"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NOT IN AIRTIGHT CONTAINERS",2020,Greenland,0,0,0,0,0,0,"19,620","18,911",0,0,402,36,"Charges, Insurance, and Freight"
220850,GIN AND GENEVA,2020,Greenland,0,0,0,0,0,58,0,0,0,0,0,0,"Charges, Insurance, and Freight"
252910,FELDSPAR,2020,Greenland,0,0,0,0,0,0,0,0,0,0,"1,800",0,"Charges, Insurance, and Freight"
430180,"FURSKINS NESOI, RAW, WHOLE, WITH OR WITHOUT HEAD, TAIL OR PAWS",2020,Greenland,0,0,0,0,0,0,0,920,0,0,0,0,"Charges, Insurance, and Freight"
710391,"RUBIES, SAPPHIRES AND EMERALDS, OTHERWISE WORKED",2020,Greenland,0,0,0,0,0,0,0,0,0,7,0,450,"Charges, Insurance, and Freight"
710399,"SEMIPRECIOUS STONES, OTHERWISE WORKED",2020,Greenland,450,0,0,0,0,0,0,0,0,0,0,0,"Charges, Insurance, and Freight"
890399,"YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES, NESOI",2020,Greenland,0,0,0,224,0,0,0,0,0,0,0,0,"Charges, Insurance, and Freight"
900311,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, OF PLASTICS",2020,Greenland,0,0,0,0,0,42,0,0,0,0,0,0,"Charges, Insurance, and Freight"
970500,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,Greenland,0,1,0,0,0,0,0,"1,000",0,23,0,0,"Charges, Insurance, and Freight"
980100,"IMPORTS OF ARTICLES EXPORTED AND RETURNED, NOT ADVANCED IN VALUE OR CONDITION; IMPORTS OF ANIMALS EXPORTED AND RETURNED WITHIN 8 MONTHS",2020,Greenland,"5,000",55,75,0,0,0,0,0,0,0,55,55,"Charges, Insurance, and Freight"
999995,ESTIMATED IMPORTS OF LOW VALUED TRANSACTIONS,2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,"Charges, Insurance, and Freight"
